# Title: Phishing URL Splunk Lookup
# Updated: 2026-09-12T12:15:55Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/phishing-filter
# License: https://gitlab.com/malware-filter/phishing-filter#license
# Sources: openphish.com, ipthreat.net, phishtank.org
"host","path","message","updated"
"0-1-x.16215785.xyz","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0-1-x.26215785.xyz","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0-lix-a8sbqnxt.d1cdej.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00-uludag-edu-tr.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00-utu-fi.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"000-054343-info.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0000000000000190000010111.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"000007767555.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"000039a9-398f-7000-a805-921aa822efc.vercel.app","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0002985647.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"001dda.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"001zimbra.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"008963466.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"009-8777.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"009090334mn.vercel.app","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0098-fr.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0099997.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00e62466-77ff-4510-97e6-d1a5a7129513-00-16fdii9g7h452.spock.replit.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00loo0j.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00nvk529ieyf-pages-dev.translate.goog","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00o0o00o0o.skapi.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"00rorrv8f-rue3wn.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"010826.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"01092correo.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0142plus.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"014e479b-9b17-403a-ae26-a569d23f7e11-00-3vqkbom6kua7b.pike.replit.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"01c2e787-6c49-4365-8be5-e5d1c9e19ed3-00-2y5i0zdquflg3.worf.replit.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"023kew6.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"023rs4ffef.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"02d772vb82.webcindario.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"02ip.ru","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"02jwye.garden","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"02twg3.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"035261.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0386467.xyz","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0393761.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0393obr.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"03avtd.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"03nlvk-3xo43-lut5i-lu9-n95ug.pages.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0465kk.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"06-0040-0-3986-7356-1324992141.cos.ap-jakarta.myqcloud.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0668ka.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"06d6ie-3j9aw-hg4xco-jhjx3.pages.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"06egte3.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"06t-xiy883-tl87j-xoae-ffyrj.pages.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0800numbers-uk.co.uk","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0898yczc.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"08yw-wdxv-wbds-ynvme-ojl0fa.pages.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09-appelmanques.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09-uludag-edu-tr.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09.2026x02find.shop","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"090675.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0918784avispdf.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09248ar.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0932es.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"093421tr.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"093748ci.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0938jp.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0938roundcube.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09392.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"094847.webflow.io","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"09636.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0975896749.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"097ey43.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0988576657456223.weebly.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0auth2.1mb.site","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0bsj77.info","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0btu8g.icu","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0c3ba2.info","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0d9a56c5-6a18-4f41-9dcf-1fa0531f9645-00-3s6jlesunorig.riker.replit.dev","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0dx829.info","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0e37e6ed-727f-469f-8fd4-4e262b9cdc59.s3.us-west-2.amazonaws.com","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0e7h4hr.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0ej37yhe.cfd","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0ej64e.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
"0ek47r.top","","phishing-filter phishing website detected","2026-09-12T12:15:55Z"
